"Delta Range (%)","Occurrences"
"[0, 2)","204"
"[2, 4)","220"
"[4, 6)","192"
"[6, 8)","134"
"[8, 10)","162"
"[10, 12)","99"
"[12, 14)","73"
"[14, 16)","46"
"[16, 18)","27"
"[18, 20)","30"
"[20, 22)","30"
"[22, 24)","17"
"[24, 26)","29"
"[26, 28)","28"
"[28, 30)","48"
"[30, 32)","41"
"[32, 34)","62"
"[34, 36)","58"
"[36, 38)","57"
"[38, 40)","63"
"[40, 42)","64"
"[42, 44)","59"
"[44, 46)","55"
"[46, 48)","64"
"[48, 50)","52"
"[50, 52)","46"
"[52, 54)","87"
"[54, 56)","84"
"[56, 58)","104"
"[58, 60)","106"
"[60, 62)","103"
"[62, 64)","95"
"[64, 66)","112"
"[66, 68)","88"
"[68, 70)","73"
"[70, 72)","46"
"[72, 74)","20"
"[74, 76)","16"
"[76, 78)","29"
"[78, 80)","30"
"[80, 82)","46"
"[82, 84)","41"
"[84, 86)","41"
"[86, 88)","52"
"[88, 90)","35"
"[90, 92)","32"
"[92, 94)","22"
"[94, 96)","23"
"[96, 98)","26"
"[98, 100)","29"
"[100, 102)","22"
"[102, 104)","31"
"[104, 106)","33"
"[106, 108)","36"
"[108, 110)","30"
"[110, 112)","25"
"[112, 114)","20"
"[114, 116)","17"
"[116, 118)","10"
"[118, 120)","7"
"[120, 122)","9"
"[122, 124)","4"
"[124, 126)","3"
